 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Forlag:
1-1	Forlag	B-noun.institution	
#text=jo jeg er nok lidt tidligt på den. og desuden har jeg ikke sagt af man skulle stemme endnu.
100-1	jo	O	
100-2	jeg	O	
100-3	er	B-verb.stative	
100-4	nok	O	
100-5	lidt	O	
100-6	tidligt	B-adj.time	
100-7	på	O	
100-8	den	O	
100-9	.	O	
100-10	og	O	
100-11	desuden	O	
100-12	har	O	
100-13	jeg	O	
100-14	ikke	O	
100-15	sagt	B-verb.communication	
100-16	af	O	
100-17	man	O	
100-18	skulle	O	
100-19	stemme	B-verb.social	
100-20	endnu	O	
100-21	.	O	

